"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"137","Gambusia affinis",234,"Cote et al., 2010","","Garamszegi 2012",0.27,"Gambusia affinis",234,"Cote et al., 2010","","Garamszegi 2012",0.276863823
"138","Cyanistes caeruleus",116,"Herborn et al., 2010","","Garamszegi 2012",0.112,"Cyanistes caeruleus",116,"Herborn et al., 2010","","Garamszegi 2012",0.112471866
"139","Myodes glareolus",192,"Korpela et al., 2011","","Garamszegi 2012",0.451,"Myodes glareolus",192,"Korpela et al., 2011","","Garamszegi 2012",0.485954906
"140","Cyanistes caeruleus",100,"Nilsson et al., 2010","","Garamszegi 2012",0.01,"Cyanistes caeruleus",100,"Nilsson et al., 2010","","Garamszegi 2012",0.01
"141","Macaca mulatta",111,"Weiss et al., 2011","","Garamszegi 2012",0.123,"Macaca mulatta",111,"Weiss et al., 2011","","Garamszegi 2012",0.123625981
"142","Lepomis macrochirus",134,"Wilson et al., 2011","","Garamszegi 2012",0.31,"Lepomis macrochirus",134,"Wilson et al., 2011","","Garamszegi 2012",0.320545409
"143","Hirundo rustica",691,"Moller, 1995","Fitness","Leung & Forbes, 1986",0.01,"Hirundo rustica",691,"Moller, 1995","Fitness","Leung & Forbes, 1986",0.01
"144","Musca vetustissima",254,"Clarke+'90","Stress","Leung & Forbes, 1986",0.3605,"Musca vetustissima",254,"Clarke+'90","Stress","Leung & Forbes, 1986",0.3776607345
"145","Musca vetustissima",270,"Clarke+'90","Stress","Leung & Forbes, 1986",0.199,"Musca vetustissima",270,"Clarke+'90","Stress","Leung & Forbes, 1986",0.2017016765
"146","Musca vetustissima",284,"Clarke+'90","Stress","Leung & Forbes, 1986",0.336,"Musca vetustissima",284,"Clarke+'90","Stress","Leung & Forbes, 1986",0.350296038
"147","Musca vetustissima",300,"Clarke+'90","Stress","Leung & Forbes, 1986",0.2,"Musca vetustissima",300,"Clarke+'90","Stress","Leung & Forbes, 1986",0.2029280655
"148","Poecilia reticulata",163,"Zajitschek & Brooks (2010)","Quantity","Mautz, 2013",0.034779235,"Poecilia reticulata",163,"Zajitschek & Brooks (2010)","Quantity","Mautz, 2013",0.035
"149","Poecilia reticulata",450,"Evans (2010)","Speed","Mautz, 2013",-0.04,"Poecilia reticulata",450,"Evans (2010)","Speed","Mautz, 2013",-0.04
"150","Poecilia reticulata",106,"Locatello et al. (2006)","Speed","Mautz, 2013",0.263624835,"Poecilia reticulata",106,"Locatello et al. (2006)","Speed","Mautz, 2013",0.27
"151","Poecilia reticulata",449,"Evans (2010)","Viability","Mautz, 2013",0.02,"Poecilia reticulata",449,"Evans (2010)","Viability","Mautz, 2013",0.02
"152","Parus major",94,"Blakey, 1994","Paternity","Moller & Ninni, 1998",-0.196,"Parus major",94,"Blakey, 1994","Paternity","Moller & Ninni, 1998",-0.198569333
"153","Dolichonyx oryzivorus",191,"Bollinger & Gavin, 1991","Paternity","Moller & Ninni, 1998",0.038,"Dolichonyx oryzivorus",191,"Bollinger & Gavin, 1991","Paternity","Moller & Ninni, 1998",0.038
"154","Sialia sialis",365,"Gowaty & Bridges","Paternity","Moller & Ninni, 1998",-0.095,"Sialia sialis",365,"Gowaty & Bridges","Paternity","Moller & Ninni, 1998",-0.0953
"155","Acrocephalus arundinaceus",130,"Hasselquist et al. 1995","Paternity","Moller & Ninni, 1998",0.176,"Acrocephalus arundinaceus",130,"Hasselquist et al. 1995","Paternity","Moller & Ninni, 1998",0.1784001065
"156","Parus caeruleus",120,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",0.054,"Parus caeruleus",120,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",0.0541
"157","Parus caeruleus",122,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",0.07,"Parus caeruleus",122,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",0.0701
"158","Parus caeruleus",138,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",-0.135,"Parus caeruleus",138,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",-0.136295138
"159","Parus caeruleus",145,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",-0.065,"Parus caeruleus",145,"Kempenaers et al. 1995","Paternity","Moller & Ninni, 1998",-0.0651
"160","Anthus spinoletta",258,"Reyer et al., 1997","Paternity","Moller & Ninni, 1998",-0.104,"Anthus spinoletta",258,"Reyer et al., 1997","Paternity","Moller & Ninni, 1998",-0.104377407
"161","Troglodytes aedon",103,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",-0.09,"Troglodytes aedon",103,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",-0.0902
"162","Troglodytes aedon",121,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",-0.034,"Troglodytes aedon",121,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",-0.034
"163","Troglodytes aedon",468,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",0.089,"Troglodytes aedon",468,"Soukup and Thompson, 1997","Paternity","Moller & Ninni, 1998",0.08925
"164","Agelaius phoeniceus",96,"Weatherhead & Boag, 1995","Paternity","Moller & Ninni, 1998",0.02,"Agelaius phoeniceus",96,"Weatherhead & Boag, 1995","Paternity","Moller & Ninni, 1998",0.02
"165","Agelaius phoeniceus",269,"Weatherhead, 1997","Paternity","Moller & Ninni, 1998",-0.009,"Agelaius phoeniceus",269,"Weatherhead, 1997","Paternity","Moller & Ninni, 1998",-0.009
"166","Passerina cyanea",98,"Westneat, 1987","Paternity","Moller & Ninni, 1998",0.0085,"Passerina cyanea",98,"Westneat, 1987","Paternity","Moller & Ninni, 1998",0.0085852105
"167","Passer domesticus",144,"Wetton & Parkin, 1991","Paternity","Moller & Ninni, 1998",-0.225,"Passer domesticus",144,"Wetton & Parkin, 1991","Paternity","Moller & Ninni, 1998",-0.228916547
"168","Homo sapiens",113,"Bailit et. al., 1970","Heritability","Moller & Thornhill, 1997",0.035,"Homo sapiens",113,"Bailit et. al., 1970","Heritability","Moller & Thornhill, 1997",0.035
"169","Homo sapiens",423,"Bener & Erk. 1979","Heritability","Moller & Thornhill, 1997",0.0917,"Homo sapiens",423,"Bener & Erk. 1979","Heritability","Moller & Thornhill, 1997",0.091958336
"170","Homo sapiens",445,"Bener, 1979","Heritability","Moller & Thornhill, 1997",0.0698,"Homo sapiens",445,"Bener, 1979","Heritability","Moller & Thornhill, 1997",0.0699
"171","Gasterosteus aculeatus",95,"Hagen, 1973","Heritability","Moller & Thornhill, 1997",0.3763,"Gasterosteus aculeatus",95,"Hagen, 1973","Heritability","Moller & Thornhill, 1997",0.395742267
"172","Homo sapiens",125,"Holt, 1954","Heritability","Moller & Thornhill, 1997",-0.0475,"Homo sapiens",125,"Holt, 1954","Heritability","Moller & Thornhill, 1997",-0.0475
"173","Homo sapiens",276,"Livshits & Kobyliansky, 1989","Heritability","Moller & Thornhill, 1997",0.224,"Homo sapiens",276,"Livshits & Kobyliansky, 1989","Heritability","Moller & Thornhill, 1997",0.227863471
"174","Homo sapiens",423,"Loesch & Martin","Heritability","Moller & Thornhill, 1997",0.225,"Homo sapiens",423,"Loesch & Martin","Heritability","Moller & Thornhill, 1997",0.228916547
"175","Homo sapiens",221,"Martin et. al., 1982","Heritability","Moller & Thornhill, 1997",0.3008,"Homo sapiens",221,"Martin et. al., 1982","Heritability","Moller & Thornhill, 1997",0.310398957
"176","Macaca mulatta",133,"McGrath et al., 1984","Heritability","Moller & Thornhill, 1997",0.0647,"Macaca mulatta",133,"McGrath et al., 1984","Heritability","Moller & Thornhill, 1997",0.0648
"177","Homo sapiens",711,"Mi & Rashad, 1977","Heritability","Moller & Thornhill, 1997",0.0797,"Homo sapiens",711,"Mi & Rashad, 1977","Heritability","Moller & Thornhill, 1997",0.0799
"178","Mus musculus",200,"Parker & Leamy, 1991","Heritability","Moller & Thornhill, 1997",0.1008,"Mus musculus",200,"Parker & Leamy, 1991","Heritability","Moller & Thornhill, 1997",0.101143494
"179","Homo sapiens",150,"Singh, 1970","Heritability","Moller & Thornhill, 1997",0.154,"Homo sapiens",150,"Singh, 1970","Heritability","Moller & Thornhill, 1997",0.155235044
"180","Burnet moth",595,"Klütsch et al., 2011","Isolation by altitude w/ distance","Shafer 2013",0.316695671,"Burnet moth",595,"Klütsch et al., 2011","Isolation by altitude w/ distance","Shafer 2013",0.33
"181","Englemann Oak",8128,"Ortego et al., 2012","Isolation by altitude w/ distance","Shafer 2013",0.02,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by altitude w/ distance","Shafer 2013",0.02
"182","Burnet moth",595,"Klütsch et al., 2011","Isolation by altitude w/o distance","Shafer 2013",0.5984169025,"Burnet moth",595,"Klütsch et al., 2011","Isolation by altitude w/o distance","Shafer 2013",0.695
"183","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by altitude w/o distance","Shafer 2013",0.03,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by altitude w/o distance","Shafer 2013",0.03
"184","Englemann Oak",8128,"Ortego et al., 2012","Isolation by altitude w/o distance","Shafer 2013",0.04,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by altitude w/o distance","Shafer 2013",0.04
"185","Tungara frog",300,"Pröhl et al., 2006","Isolation by bioacoustics w/ distance","Shafer 2013",-0.226028352,"Tungara frog",300,"Pröhl et al., 2006","Isolation by bioacoustics w/ distance","Shafer 2013",-0.23
"186","Tungara frog",300,"Pröhl et al., 2006","Isolation by bioacoustics w/o distance","Shafer 2013",0.23549575,"Tungara frog",300,"Pröhl et al., 2006","Isolation by bioacoustics w/o distance","Shafer 2013",0.24
"187","Greenish warbler",91,"Irwin et al., 2008","Isolation by call w/o distance","Shafer 2013",0.82427217,"Greenish warbler",91,"Irwin et al., 2008","Isolation by call w/o distance","Shafer 2013",1.17
"188","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Carbon content w/o distance","Shafer 2013",-0.04985,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by Carbon content w/o distance","Shafer 2013",-0.05
"189","P. longiseta",1540,"Ruano et al., 2011","Isolation by chemicals w/o distance","Shafer 2013",0.52266543,"P. longiseta",1540,"Ruano et al., 2011","Isolation by chemicals w/o distance","Shafer 2013",0.58
"190","Grey wolves",105,"Geffen et al., 2004","Isolation by climate w/ distance","Shafer 2013",0.187746206,"Grey wolves",105,"Geffen et al., 2004","Isolation by climate w/ distance","Shafer 2013",0.19
"191","Grey wolves",105,"Geffen et al., 2004","Isolation by climate w/o distance","Shafer 2013",0.158648504,"Grey wolves",105,"Geffen et al., 2004","Isolation by climate w/o distance","Shafer 2013",0.16
"192","Sea urchin",153,"Banks et al., 2010","Isolation by coastal topography w/o distance","Shafer 2013",0.249326437,"Sea urchin",153,"Banks et al., 2010","Isolation by coastal topography w/o distance","Shafer 2013",0.255
"193","Poison-dart frog",171,"Wang & Summers, 2010","Isolation by colour w/ distance","Shafer 2013",0.5297431885,"Poison-dart frog",171,"Wang & Summers, 2010","Isolation by colour w/ distance","Shafer 2013",0.59
"194","Guppies",990,"Alexander et al., 2006","Isolation by colour w/o distance","Shafer 2013",0,"Guppies",990,"Alexander et al., 2006","Isolation by colour w/o distance","Shafer 2013",0
"195","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by colour w/o distance","Shafer 2013",0.04,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by colour w/o distance","Shafer 2013",0.04
"196","Tree frogs",105,"Robertson et al., 2009","Isolation by colour w/o distance","Shafer 2013",0.03,"Tree frogs",105,"Robertson et al., 2009","Isolation by colour w/o distance","Shafer 2013",0.03
"197","Tree frogs",210,"Robertson et al., 2009","Isolation by colour w/o distance","Shafer 2013",0.66959026,"Tree frogs",210,"Robertson et al., 2009","Isolation by colour w/o distance","Shafer 2013",0.81
"198","Bush monkeyflower",308,"Streisfeld & Kohn, 2005","Isolation by colour w/o distance","Shafer 2013",0.335367247,"Bush monkeyflower",308,"Streisfeld & Kohn, 2005","Isolation by colour w/o distance","Shafer 2013",0.355
"199","Forest herb",153,"Vandepitte et al., 2007","Isolation by community w/ distance","Shafer 2013",-0.291312612,"Forest herb",153,"Vandepitte et al., 2007","Isolation by community w/ distance","Shafer 2013",-0.3
"200","Forest herb",153,"Vandepitte et al., 2007","Isolation by community w/o distance","Shafer 2013",-0.226028352,"Forest herb",153,"Vandepitte et al., 2007","Isolation by community w/o distance","Shafer 2013",-0.23
"201","Englemann Oak",8128,"Ortego et al., 2012","Isolation by current niche w/ distance","Shafer 2013",0.049958375,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by current niche w/ distance","Shafer 2013",0.05
"202","Englemann Oak",8128,"Ortego et al., 2012","Isolation by current niche w/o distance","Shafer 2013",0.0599,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by current niche w/o distance","Shafer 2013",0.06
"203","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by days to flower w/o distance","Shafer 2013",0.226028352,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by days to flower w/o distance","Shafer 2013",0.23
"204","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by days wilting w/o distance","Shafer 2013",0.0898,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by days wilting w/o distance","Shafer 2013",0.09
"205","Starfish",120,"Sponer & Roy, 2002","Isolation by depth w/ distance","Shafer 2013",-0.2702601055,"Starfish",120,"Sponer & Roy, 2002","Isolation by depth w/ distance","Shafer 2013",-0.295
"206","Atlantic cod",136,"Case et al., 2005","Isolation by depth w/o distance","Shafer 2013",0.551674876,"Atlantic cod",136,"Case et al., 2005","Isolation by depth w/o distance","Shafer 2013",0.65
"207","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by diurnal range w/o distance","Shafer 2013",0.10955847,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by diurnal range w/o distance","Shafer 2013",0.11
"208","Walking sticks",209,"Nosil et al., 2008","Isolation by ecomorphology w/ distance","Shafer 2013",0.01,"Walking sticks",209,"Nosil et al., 2008","Isolation by ecomorphology w/ distance","Shafer 2013",0.01
"209","Walking sticks",209,"Nosil et al., 2008","Isolation by ecomorphology w/o distance","Shafer 2013",0.0599,"Walking sticks",209,"Nosil et al., 2008","Isolation by ecomorphology w/o distance","Shafer 2013",0.06
"210","Mogurnda",136,"Cook et al., 2010","Isolation by elevation w/ distance","Shafer 2013",-0.437150834,"Mogurnda",136,"Cook et al., 2010","Isolation by elevation w/ distance","Shafer 2013",-0.49
"211","Chinook salmon",136,"Olsen et al., 2010","Isolation by elevation w/ distance","Shafer 2013",0.2049977835,"Chinook salmon",136,"Olsen et al., 2010","Isolation by elevation w/ distance","Shafer 2013",0.21
"212","Grasshopper",276,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",-0.226028352,"Grasshopper",276,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",-0.23
"213","Grasshopper",351,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",0.226028352,"Grasshopper",351,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",0.23
"214","Grasshopper",378,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",0.129272584,"Grasshopper",378,"Ortego et al., 2011","Isolation by elevation w/ distance","Shafer 2013",0.13
"215","Brassicaciea",465,"Parisod & Christin, 2008","Isolation by elevation w/ distance","Shafer 2013",-0.04,"Brassicaciea",465,"Parisod & Christin, 2008","Isolation by elevation w/ distance","Shafer 2013",-0.04
"216","Mogurnda",136,"Cook et al., 2010","Isolation by elevation w/o distance","Shafer 2013",0.0898,"Mogurnda",136,"Cook et al., 2010","Isolation by elevation w/o distance","Shafer 2013",0.09
"217","Mosquitoes",231,"David et al., 2003","Isolation by elevation w/o distance","Shafer 2013",0.187746206,"Mosquitoes",231,"David et al., 2003","Isolation by elevation w/o distance","Shafer 2013",0.19
"218","Chinook salmon",136,"Olsen et al., 2010","Isolation by elevation w/o distance","Shafer 2013",0.6508731515,"Chinook salmon",136,"Olsen et al., 2010","Isolation by elevation w/o distance","Shafer 2013",0.78
"219","Grasshopper",378,"Ortego et al., 2011","Isolation by elevation w/o distance","Shafer 2013",0.571669966,"Grasshopper",378,"Ortego et al., 2011","Isolation by elevation w/o distance","Shafer 2013",0.65
"220","Aquatic moss",276,"Hutsemekers et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.300437097,"Aquatic moss",276,"Hutsemekers et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.31
"221","Aquatic moss",1225,"Hutsemekers et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.158648504,"Aquatic moss",1225,"Hutsemekers et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.16
"222","Boechera",239,"Lee & Mitchell-Olds, 2011","Isolation by environment w/ distance","Shafer 2013",0.2421082165,"Boechera",239,"Lee & Mitchell-Olds, 2011","Isolation by environment w/ distance","Shafer 2013",0.26
"223","Mule deer",325,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.04,"Mule deer",325,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.04
"224","Mule deer",4095,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",-0.06988589,"Mule deer",4095,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",-0.07
"225","Mule deer",4371,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.0997,"Mule deer",4371,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.1
"226","Mule deer",5778,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",-0.04,"Mule deer",5778,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",-0.04
"227","Mule deer",15400,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.119427299,"Mule deer",15400,"Pease et al., 2009","Isolation by environment w/ distance","Shafer 2013",0.12
"228","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",-0.371360228,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",-0.39
"229","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",0.353991712,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",0.37
"230","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",0.379948962,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by environment w/ distance","Shafer 2013",0.4
"231","Aquatic moss",276,"Hutsemekers et al., 2009","Isolation by environment w/o distance","Shafer 2013",0.300437097,"Aquatic moss",276,"Hutsemekers et al., 2009","Isolation by environment w/o distance","Shafer 2013",0.31
"232","Aquatic moss",1225,"Hutsemekers et al., 2009","Isolation by environment w/o distance","Shafer 2013",0.421450331,"Aquatic moss",1225,"Hutsemekers et al., 2009","Isolation by environment w/o distance","Shafer 2013",0.47
"233","F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.396930432,"F. insipida",231,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.42
"234","B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.469945199,"B. alicastrum",406,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.51
"235","B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.492987967,"B. simaruba",496,"Poelchau & Hamrick, 2012","Isolation by environment w/o distance","Shafer 2013",0.54
"236","Poa",30876,"Bjørnstad et al., 1995","Isolation by floral morphology w/ distance","Shafer 2013",0.049958375,"Poa",30876,"Bjørnstad et al., 1995","Isolation by floral morphology w/ distance","Shafer 2013",0.05
"237","Poa",30876,"Bjørnstad et al., 1995","Isolation by floral morphology w/o distance","Shafer 2013",0.168381046,"Poa",30876,"Bjørnstad et al., 1995","Isolation by floral morphology w/o distance","Shafer 2013",0.17
"238","Chinook salmon",136,"Olsen et al., 2010","Isolation by gradient w/ distance","Shafer 2013",0.1427270625,"Chinook salmon",136,"Olsen et al., 2010","Isolation by gradient w/ distance","Shafer 2013",0.145
"239","Chinook salmon",136,"Olsen et al., 2010","Isolation by gradient w/o distance","Shafer 2013",0.605185807,"Chinook salmon",136,"Olsen et al., 2010","Isolation by gradient w/o distance","Shafer 2013",0.71
"240","Dune sunflower",210,"Andrew et al., 2012","Isolation by habitat type w/ distance","Shafer 2013",0.454216433,"Dune sunflower",210,"Andrew et al., 2012","Isolation by habitat type w/ distance","Shafer 2013",0.49
"241","Dune sunflower",210,"Andrew et al., 2012","Isolation by habitat type w/o distance","Shafer 2013",0.485381091,"Dune sunflower",210,"Andrew et al., 2012","Isolation by habitat type w/o distance","Shafer 2013",0.53
"242","Trinidadian guppy",190,"Crispo et al., 2005","Isolation by habitat w/ distance","Shafer 2013",0.025,"Trinidadian guppy",190,"Crispo et al., 2005","Isolation by habitat w/ distance","Shafer 2013",0.025
"243","Grey wolves",105,"Geffen et al., 2004","Isolation by habitat w/ distance","Shafer 2013",0.139092448,"Grey wolves",105,"Geffen et al., 2004","Isolation by habitat w/ distance","Shafer 2013",0.14
"244","Marine snail",11026,"Johannesson et al., 2004","Isolation by habitat w/ distance","Shafer 2013",0.0798,"Marine snail",11026,"Johannesson et al., 2004","Isolation by habitat w/ distance","Shafer 2013",0.08
"245","Moor frog",136,"Richter-Boix et al., 2011","Isolation by habitat w/ distance","Shafer 2013",0.1095636495,"Moor frog",136,"Richter-Boix et al., 2011","Isolation by habitat w/ distance","Shafer 2013",0.11
"246","Spiny lobster",136,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.413644442,"Spiny lobster",136,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.44
"247","Kelp bass",190,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.336375544,"Kelp bass",190,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.35
"248","Kellet's whelk",741,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.529895608,"Kellet's whelk",741,"Selkoe et al., 2010","Isolation by habitat w/ distance","Shafer 2013",0.59
"249","Woodcreeper",172,"Cabanne et al., 2011","Isolation by habitat w/o distance","Shafer 2013",0.168381046,"Woodcreeper",172,"Cabanne et al., 2011","Isolation by habitat w/o distance","Shafer 2013",0.17
"250","Grey wolves",105,"Geffen et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0.187746206,"Grey wolves",105,"Geffen et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0.19
"251","Marine snail",11026,"Johannesson et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0.0798,"Marine snail",11026,"Johannesson et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0.08
"252","Sockeye salmon",105,"Ramstad et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0,"Sockeye salmon",105,"Ramstad et al., 2004","Isolation by habitat w/o distance","Shafer 2013",0
"253","Moor frog",136,"Richter-Boix et al., 2011","Isolation by habitat w/o distance","Shafer 2013",0.119396224,"Moor frog",136,"Richter-Boix et al., 2011","Isolation by habitat w/o distance","Shafer 2013",0.12
"254","Spiny lobster",136,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.282134813,"Spiny lobster",136,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.29
"255","Kelp bass",190,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.69106947,"Kelp bass",190,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.85
"256","Kellet's whelk",741,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.263624835,"Kellet's whelk",741,"Selkoe et al., 2010","Isolation by habitat w/o distance","Shafer 2013",0.27
"257","Englemann Oak",8128,"Ortego et al., 2012","Isolation by historic niche w/ distance","Shafer 2013",0.03,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by historic niche w/ distance","Shafer 2013",0.03
"258","Englemann Oak",8128,"Ortego et al., 2012","Isolation by historic niche w/o distance","Shafer 2013",0.04,"Englemann Oak",8128,"Ortego et al., 2012","Isolation by historic niche w/o distance","Shafer 2013",0.04
"259","Eusandalum parasitoids",136,"Althoff, 2008","Isolation by host association w/ distance","Shafer 2013",-0.1144928845,"Eusandalum parasitoids",136,"Althoff, 2008","Isolation by host association w/ distance","Shafer 2013",-0.115
"260","Eusandalum parasitoids",136,"Althoff, 2008","Isolation by host association w/o distance","Shafer 2013",-0.04,"Eusandalum parasitoids",136,"Althoff, 2008","Isolation by host association w/o distance","Shafer 2013",-0.04
"261","Walking sticks",209,"Nosil et al., 2008","Isolation by host preference w/ distance","Shafer 2013",0.049958375,"Walking sticks",209,"Nosil et al., 2008","Isolation by host preference w/ distance","Shafer 2013",0.05
"262","Walking sticks",209,"Nosil et al., 2008","Isolation by host preference w/o distance","Shafer 2013",0.226028352,"Walking sticks",209,"Nosil et al., 2008","Isolation by host preference w/o distance","Shafer 2013",0.23
"263","Parisitoid wasp",16290,"Baer et al., 2004","Isolation by host use w/ distance","Shafer 2013",0,"Parisitoid wasp",16290,"Baer et al., 2004","Isolation by host use w/ distance","Shafer 2013",0
"264","Parisitoid wasp",7626,"Baer et al., 2004","Isolation by host use w/o distance","Shafer 2013",-0.04,"Parisitoid wasp",7626,"Baer et al., 2004","Isolation by host use w/o distance","Shafer 2013",-0.04
"265","Andean tomatoes",96,"Nakazato et al., 2008","Isolation by inorganic carbon w/o distance","Shafer 2013",0.04,"Andean tomatoes",96,"Nakazato et al., 2008","Isolation by inorganic carbon w/o distance","Shafer 2013",0.04
"266","Daphnia",171,"Orsini et al., 2012","Isolation by land use w/ distance","Shafer 2013",0.1713954855,"Daphnia",171,"Orsini et al., 2012","Isolation by land use w/ distance","Shafer 2013",0.175
"267","Atlantic cod",253,"Case et al., 2005","Isolation by latitude w/o distance","Shafer 2013",0.777888067,"Atlantic cod",253,"Case et al., 2005","Isolation by latitude w/o distance","Shafer 2013",1.04
"268","Aphid",153,"Sandrock et al., 2011","Isolation by life cycle w/o distance","Shafer 2013",-0.01,"Aphid",153,"Sandrock et al., 2011","Isolation by life cycle w/o distance","Shafer 2013",-0.01
"269","Elliot’s blueberry",105,"Anderson & Geber, 2010","Isolation by life history w/o distance","Shafer 2013",0.2069665,"Elliot’s blueberry",105,"Anderson & Geber, 2010","Isolation by life history w/o distance","Shafer 2013",0.21
"270","Rainbow smelt",210,"Bradbury et al., 2006","Isolation by morphology w/ distance","Shafer 2013",0.277519947,"Rainbow smelt",210,"Bradbury et al., 2006","Isolation by morphology w/ distance","Shafer 2013",0.285
"271","Song sparrow",96,"Chan & Arcese, 2003","Isolation by morphology w/ distance","Shafer 2013",-0.158648504,"Song sparrow",96,"Chan & Arcese, 2003","Isolation by morphology w/ distance","Shafer 2013",-0.16
"272","Ground beetle",820,"Garnier et al., 2009","Isolation by morphology w/ distance","Shafer 2013",0.6347164415,"Ground beetle",820,"Garnier et al., 2009","Isolation by morphology w/ distance","Shafer 2013",0.755
"273","Walking sticks",209,"Nosil et al., 2008","Isolation by morphology w/ distance","Shafer 2013",0.03,"Walking sticks",209,"Nosil et al., 2008","Isolation by morphology w/ distance","Shafer 2013",0.03
"274","Guppies",990,"Alexander et al., 2006","Isolation by morphology w/o distance","Shafer 2013",0.1188522905,"Guppies",990,"Alexander et al., 2006","Isolation by morphology w/o distance","Shafer 2013",0.12
