"","Group.1","Group.2","Group.3","Group.4","Group.5","x","Group.1","Group.2","Group.3","Group.4","Group.5","x"
"29","Passer domesticus",109,"Elgar, 1986","Scan Frequency vs. Group Size","Beauchamp 2008",0.52,"Passer domesticus",109,"Elgar, 1986","Scan Frequency vs. Group Size","Beauchamp 2008",0.576339755
"30","Passer domesticus",151,"Elgar, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.405,"Passer domesticus",151,"Elgar, 1987","Scan Frequency vs. Group Size","Beauchamp 2008",0.429615588
"31","Molothrus ater",126,"Fernandez-Juricic et al., 2007","Scan Frequency vs. Group Size","Beauchamp 2008",0.28,"Molothrus ater",126,"Fernandez-Juricic et al., 2007","Scan Frequency vs. Group Size","Beauchamp 2008",0.287682072
"32","Arenaria interpres",284,"Fleischer, 1983","Scan Frequency vs. Group Size","Beauchamp 2008",0.294,"Arenaria interpres",284,"Fleischer, 1983","Scan Frequency vs. Group Size","Beauchamp 2008",0.302939119
"33","Haematopus ostralegus",159,"Goss-Custard et al., 1999","Scan Frequency vs. Group Size","Beauchamp 2008",-0.46,"Haematopus ostralegus",159,"Goss-Custard et al., 1999","Scan Frequency vs. Group Size","Beauchamp 2008",-0.497311288
"34","Corvus corone corone",1203,"Saino, 1994","Scan Frequency vs. Group Size","Beauchamp 2008",0.263,"Corvus corone corone",1203,"Saino, 1994","Scan Frequency vs. Group Size","Beauchamp 2008",0.269328615
"35","Picoides pubescens",160,"Sullivan, 1984","Scan Frequency vs. Group Size","Beauchamp 2008",0.866,"Picoides pubescens",160,"Sullivan, 1984","Scan Frequency vs. Group Size","Beauchamp 2008",1.316856291
"36","Calidris alpina",101,"Barbosa, 1997","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.06,"Calidris alpina",101,"Barbosa, 1997","Time spent vigilant vs. Group Size","Beauchamp 2008",-0.0601
"37","Coccothraustes vespertinus",1018,"Bekoff, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",0.332,"Coccothraustes vespertinus",1018,"Bekoff, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",0.345074339
"38","Coccothraustes vespertinus",1472,"Bekoff, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",0.787,"Coccothraustes vespertinus",1472,"Bekoff, 1995","Time spent vigilant vs. Group Size","Beauchamp 2008",1.063500675
